164647 particles, 77640 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
159 41346 56412 6.999396e+00 1.821674e-01 2 1 1.821674e-01 2 14286947206986063649555087360.000000 0.00e+00
165 73004 145962 7.696342e+00 1.420392e-01 3 1 1.420392e-01 3 12993186434689922733407469568.000000 0.00e+00
171 47513 77723 8.129938e+00 2.004714e-01 3 1 2.004714e-01 3 12300216932260665255459291136.000000 0.00e+00
174 54076 97759 8.416872e+00 2.245342e-01 2 1 2.245342e-01 2 11880897942189117260943065088.000000 0.00e+00
176 650 1004 8.445056e+00 8.278284e-01 15 1 8.278284e-01 15 11841247772607323002317570048.000000 0.00e+00
177 47662 78307 8.460193e+00 2.253105e-01 3 1 2.253105e-01 3 11820062055973549056477626368.000000 0.00e+00
180 7975 10490 8.567252e+00 2.771331e-01 3 1 2.771331e-01 3 11672354696530731576072339456.000000 0.00e+00
183 32081 41553 8.727793e+00 1.632496e-01 2 1 1.632496e-01 2 11457651123795442439020347392.000000 0.00e+00
184 62559 111710 8.808522e+00 1.850010e-01 3 1 1.850010e-01 3 11352642221499111573225996288.000000 0.00e+00
186 5816 7197 8.894591e+00 1.666501e-01 2 1 1.666501e-01 2 11242788171191356451442393088.000000 0.00e+00
187 62568 111721 9.032558e+00 1.953831e-01 4 1 1.953831e-01 4 11071060494633422520657641472.000000 0.00e+00
189 64318 115567 9.636618e+00 1.198965e-01 2 1 1.198965e-01 2 10377085128143313808278945792.000000 0.00e+00
190 9478 13000 9.672429e+00 2.138937e-01 4 1 2.138937e-01 4 10338665135030307092231618560.000000 0.00e+00
193 46200 72630 9.913039e+00 1.996877e-01 5 1 1.996877e-01 5 10087723302497097015221026816.000000 0.00e+00
198 9775 13369 1.028899e+01 9.957724e-02 2 1 9.957724e-02 2 9719125479930620803828154368.000000 0.00e+00
201 77238 163850 1.064995e+01 1.511258e-01 2 1 1.511258e-01 2 9389719757397100495475048448.000000 0.00e+00
205 58105 106526 1.111167e+01 1.802967e-01 4 1 1.802967e-01 4 8999547213257823951217754112.000000 0.00e+00
207 9537 13088 1.132390e+01 1.632425e-01 2 1 1.632425e-01 2 8830879039884979191825825792.000000 0.00e+00
208 46047 72049 1.145505e+01 1.308693e-01 2 1 1.308693e-01 2 8729776715261602240034504704.000000 0.00e+00
209 534 732 1.149457e+01 1.931774e-01 4 1 1.931774e-01 4 8699757221825810264116690944.000000 0.00e+00
210 10474 14134 1.153345e+01 1.549306e-01 2 1 1.549306e-01 2 8670428964783948332517031936.000000 0.00e+00
213 9327 12810 1.176305e+01 1.803689e-01 3 1 1.803689e-01 3 8501194107433159215699460096.000000 0.00e+00
215 36422 46520 1.202387e+01 1.401328e-01 2 1 1.401328e-01 2 8316788057460341004927238144.000000 0.00e+00
216 6850 8758 1.214328e+01 1.233574e-01 2 1 1.233574e-01 2 8235010246780677000056012800.000000 0.00e+00
219 7795 10167 1.246848e+01 1.430272e-01 2 1 1.430272e-01 2 8020226393815179079035387904.000000 0.00e+00
220 37369 48230 1.247259e+01 1.712516e-01 5 1 1.712516e-01 5 8017580097697341001598763008.000000 0.00e+00
221 45912 71689 1.258158e+01 1.259748e-01 2 1 1.259748e-01 2 7948130024721208205557891072.000000 0.00e+00
224 46117 72341 1.288879e+01 1.376025e-01 4 1 1.376025e-01 4 7758682848527926648520048640.000000 0.00e+00
225 60367 109103 1.291503e+01 1.605163e-01 5 1 1.605163e-01 5 7742917228024866337974124544.000000 0.00e+00
226 9367 12880 1.309861e+01 1.917843e-01 4 1 1.917843e-01 4 7634399607431763325785997312.000000 0.00e+00
231 7557 9702 1.423350e+01 8.071361e-02 2 1 8.071361e-02 2 7025677123056900318450155520.000000 0.00e+00
232 7423 9477 1.447645e+01 1.336590e-01 2 1 1.336590e-01 2 6907770257304231734165897216.000000 0.00e+00
234 32009 41475 1.459132e+01 1.102380e-01 2 1 1.102380e-01 2 6853389255774935976001929216.000000 0.00e+00
238 566 774 1.495187e+01 1.496081e-01 3 1 1.496081e-01 3 6688126498932050589514727424.000000 0.00e+00
241 20950 26292 1.542426e+01 1.499443e-01 4 1 1.499443e-01 4 6483292081850148652253708288.000000 0.00e+00
242 58095 106514 1.548377e+01 7.357687e-02 2 1 7.357687e-02 2 6458377466582338762811899904.000000 0.00e+00
248 9709 13301 1.690048e+01 9.400296e-02 2 1 9.400296e-02 2 5916991796182524385283801088.000000 0.00e+00
249 57813 106193 1.697025e+01 1.649346e-01 4 1 1.649346e-01 4 5892664525246021407965446144.000000 0.00e+00
252 28332 37115 1.727439e+01 7.640884e-02 2 1 7.640884e-02 2 5788915314208996020031848448.000000 0.00e+00
254 59277 107724 1.738251e+01 1.827482e-01 4 1 1.827482e-01 4 5752909630960356410100023296.000000 0.00e+00
255 8436 11213 1.756784e+01 8.854719e-02 2 1 8.854719e-02 2 5692219547809946805930557440.000000 0.00e+00
257 3295 4500 1.790996e+01 1.275483e-01 5 1 1.275483e-01 5 5583484698358631790062600192.000000 0.00e+00
263 10721 14412 1.901645e+01 8.636171e-02 3 1 8.636171e-02 3 5258604773803131677941170176.000000 0.00e+00
266 1968 2801 1.966137e+01 7.974160e-02 3 1 7.974160e-02 3 5086115025354024658160058368.000000 0.00e+00
268 69968 134003 1.981891e+01 9.170357e-02 2 1 9.170357e-02 2 5045686845894177625485606912.000000 0.00e+00
269 11101 15077 2.008359e+01 1.085019e-01 4 1 1.085019e-01 4 4979190022857269433820250112.000000 0.00e+00
270 77292 163983 2.018863e+01 1.149111e-01 4 1 1.149111e-01 4 4953283120332246560177913856.000000 0.00e+00
276 75131 158115 2.123210e+01 8.384532e-02 2 1 8.384532e-02 2 4709849555358894039704272896.000000 0.00e+00
279 9717 13310 2.220198e+01 5.912170e-02 2 1 5.912170e-02 2 4504103426397893081564184576.000000 0.00e+00
284 28914 37918 2.329376e+01 7.828073e-02 2 1 7.828073e-02 2 4292995345443498820636770304.000000 0.00e+00
288 66529 122881 2.508341e+01 4.671754e-02 2 1 4.671754e-02 2 3986698818441806300489711616.000000 0.00e+00
293 8242 10899 2.635859e+01 3.975229e-02 2 1 3.975229e-02 2 3793829107140064968083243008.000000 0.00e+00
294 74306 154137 2.657033e+01 5.882578e-02 3 1 5.882578e-02 3 3763595926620923140719509504.000000 0.00e+00
