164647 particles, 452 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
400 68697 129044 0.699701 8.013965 19 1 8.013965 19 1.034358 0.839000
401 67043 123998 0.326792 85.941673 168 1 85.941673 168 1.034052 0.840000
402 64613 117540 0.240048 68.429070 165 1 68.429070 165 1.034021 0.840000
403 73685 149859 0.397341 33.486290 58 1 33.486290 58 1.032154 0.848000
404 67873 125686 0.132541 314.020386 401 1 314.020386 401 1.030557 0.855000
405 40072 53456 0.443425 19.541571 36 1 19.541571 36 1.029962 0.858000
406 68100 126463 0.293960 56.591042 77 1 56.591042 77 1.029624 0.859000
407 47659 78303 0.535727 7.538869 10 1 7.538869 10 1.029600 0.859000
408 51129 90471 0.654240 6.158748 12 1 6.158748 12 1.029591 0.859000
410 46371 73379 0.396944 14.860350 20 1 14.860350 20 1.026634 0.872000
411 45256 69569 1.601796 5.588066 30 1 5.588066 30 1.024419 0.882000
413 75913 161826 1.816309 3.101871 17 1 3.101871 17 1.022973 0.889000
414 25568 32616 0.547637 17.944530 47 1 17.944530 47 1.022603 0.891000
415 48495 80481 0.308258 61.493599 151 1 61.493599 151 1.021570 0.895000
416 46829 75383 0.410249 37.035019 75 1 37.035019 75 1.021341 0.896000
417 23153 29771 0.989914 3.610706 13 1 3.610706 13 1.020566 0.900000
418 39818 52956 0.555610 4.779116 10 1 4.779116 10 1.019583 0.905000
419 28154 36725 1.833921 2.005781 11 1 2.005781 11 1.018867 0.908000
420 72205 142199 0.585024 11.025870 26 1 11.025870 26 1.017500 0.914000
423 48680 81071 0.627469 8.460933 19 1 8.460933 19 1.015179 0.925000
